IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,Y,X
170120257,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,2/11/17 0:00,17:00:00,NORTHERN,NONE,2400 Block of BAY ST,37.80165457,-122.4472152
171049002,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,12/28/17 0:00,22:30:00,BAYVIEW,NONE,OAKDALE AV / 3RD ST,37.73479699,-122.3906976
170208449,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,3/13/17 0:00,19:30:00,CENTRAL,NONE,BEACH ST / POLK ST,37.80622143,-122.4238488
170208637,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,3/13/17 0:00,18:00:00,SOUTHERN,NONE,600 Block of BRYANT ST,37.77862708,-122.3991515
171050350,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Friday,12/29/17 0:00,14:40:00,SOUTHERN,NONE,HARRISON ST / 10TH ST,37.77157858,-122.4112792
170217531,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,3/16/17 0:00,13:45:00,MISSION,NONE,CHURCH ST / 20TH ST,37.75808998,-122.4280517
170217650,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,3/16/17 0:00,15:00:00,CENTRAL,NONE,NORTHPOINT ST / TAYLOR ST,37.80634189,-122.4154355
170229978,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Monday,3/20/17 0:00,14:30:00,NORTHERN,NONE,3600 Block of LYON ST,37.80427189,-122.4482784
170230016,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,3/19/17 0:00,12:00:00,RICHMOND,NONE,800 Block of 39TH AV,37.77279708,-122.4993187
170152965,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,2/22/17 0:00,17:50:00,BAYVIEW,NONE,200 Block of LOOMIS ST,37.73871566,-122.4055415
170238684,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Thursday,3/23/17 0:00,12:10:00,PARK,NONE,MARTIN LUTHER KING JR DR / BOWLINGGREEN DR,37.767449,-122.4606766
