fips,oppzone,city,levratio,medincome,phisp,pblk,mhisp
6001400100,Not Designated,Oakland,3.01,177417,0.027501657,0.030483764,Not Majority
6001981900,Not Designated,Oakland,3.36786087,105714,0,0,Not Majority
6001404600,Not Designated,Oakland,3.31,163322,0.037727168,0.046468829,Not Majority
6001409900,Not Designated,Oakland,3.37,97689,0.147289069,0.469411424,Not Majority
6001404400,Not Designated,Oakland,3.04,150074,0.066247224,0.020355292,Not Majority
6001404502,Not Designated,Oakland,3.1,133068,0.081251157,0.049046826,Not Majority
6001404200,Not Designated,Oakland,3.16,169519,0.049589041,0.135616438,Not Majority
6001406000,Designated Qualified Opportunity Zone,Oakland,2.93,30909,0.100667247,0.178125907,Not Majority
6001407300,Designated Qualified Opportunity Zone,Oakland,3.59,53214,0.536585366,0.106357457,Majority
6001406100,Designated Qualified Opportunity Zone,Oakland,2.85,44485,0.614891417,0.086039297,Majority
6001408000,Not Designated,Oakland,3.08,158917,0.11683096,0.166119022,Not Majority
6001404300,Not Designated,Oakland,3.16,193523,0.107539802,0.049564434,Not Majority
6001409800,Not Designated,Oakland,3.47,63598,0.152484472,0.56242236,Not Majority
6001406700,Not Designated,Oakland,3.13,73167,0.134433488,0.113906219,Not Majority
6001982000,Not Designated,Oakland,3.13,160417,0.25862069,0,Not Majority
6001408300,Not Designated,Oakland,3.58,81695,0.20915165,0.420125531,Not Majority
6001405100,Not Designated,Oakland,3.09,182153,0.031887456,0.16014068,Not Majority
6001403400,Not Designated,Oakland,2.59,51172,0.086238532,0.219495413,Not Majority
6001409400,Not Designated,Oakland,3.37,39189,0.585106383,0.25,Majority
6001407800,Not Designated,Oakland,3.68,80368,0.164766458,0.302317028,Not Majority
6001404700,Not Designated,Oakland,2.85,159107,0.077562327,0.052631579,Not Majority
6001408800,Designated Qualified Opportunity Zone,Oakland,3.82,23598,0.54521109,0.299306868,Majority
6001401000,Designated Qualified Opportunity Zone,Oakland,3.79,51073,0.22283223,0.332149201,Not Majority
6001408700,Designated Qualified Opportunity Zone,Oakland,3.65,43649,0.496906419,0.41131735,Not Majority
6001404501,Not Designated,Oakland,3.23,181484,0.081699346,0.044117647,Not Majority
6001400300,Not Designated,Oakland,3.1,85313,0.073720397,0.115737204,Not Majority
6001407900,Not Designated,Oakland,3.4,100927,0.123171921,0.180695483,Not Majority
