Census Tract,FIPS Code,Formatted FIPS,"Designated Qualified Opportunity Zones, as of 2018.",city,Median leverage ratio for all loans in 2016.,NAME,medincome,phisp,pblk
"06085512045, CA",6085512045,06085512045,Not Designated,San Jose,3.55,"Census Tract 5120.45, Santa Clara County, California",108289,0.26890611541774334,0.03479758828596038
"06085506802, CA",6085506802,06085506802,Not Designated,San Jose,3.34,"Census Tract 5068.02, Santa Clara County, California",117204,0.1251736111111111,0.011458333333333333
"06085506302, CA",6085506302,06085506302,Not Designated,San Jose,3.35,"Census Tract 5063.02, Santa Clara County, California",107500,0.2047936462913062,0.026946532406750816
"06085503321, CA",6085503321,06085503321,Not Designated,San Jose,3.53,"Census Tract 5033.21, Santa Clara County, California",105e3,0.15216511533791988,0.028733306353702956
"06085500100, CA",6085500100,06085500100,Not Designated,San Jose,3.49,"Census Tract 5001, Santa Clara County, California",81125,0.5943251533742331,0.02147239263803681
"06085512029, CA",6085512029,06085512029,Not Designated,San Jose,3.54,"Census Tract 5120.29, Santa Clara County, California",116699,0.2492173676330475,0.01823873689941473
"06085502101, CA",6085502101,06085502101,Not Designated,San Jose,3.38,"Census Tract 5021.01, Santa Clara County, California",98867,0.19155206286836934,0.01768172888015717
"06085503003, CA",6085503003,06085503003,Not Designated,San Jose,3.63,"Census Tract 5030.03, Santa Clara County, California",13e4,0.18398851193681565,0.025489140190271046
"06085511913, CA",6085511913,06085511913,Not Designated,San Jose,3.34,"Census Tract 5119.13, Santa Clara County, California",164375,0.14943587381994014,0.0016117890858853327
"06085502903, CA",6085502903,06085502903,Not Designated,San Jose,3.51,"Census Tract 5029.03, Santa Clara County, California",140563,0.21098157201955622,0.028958254983076345
"06085502901, CA",6085502901,06085502901,Not Designated,San Jose,3.52,"Census Tract 5029.01, Santa Clara County, California",100285,0.27650858673389,0.01386481802426343
"06085511916, CA",6085511916,06085511916,Not Designated,San Jose,3.37,"Census Tract 5119.16, Santa Clara County, California",116250,0.14160033514872225,0.020737327188940093
"06085506204, CA",6085506204,06085506204,Not Designated,San Jose,3.37,"Census Tract 5062.04, Santa Clara County, California",98438,0.0923182914226662,0.022390630382363073
"06085502102, CA",6085502102,06085502102,Not Designated,San Jose,3.46,"Census Tract 5021.02, Santa Clara County, California",54606,0.5378140207812705,0.05695120347231356
"06085503214, CA",6085503214,06085503214,Not Designated,San Jose,3.75,"Census Tract 5032.14, Santa Clara County, California",38851,0.47260748959778087,0.015487748497457236
"06085503105, CA",6085503105,06085503105,Not Designated,San Jose,3.62,"Census Tract 5031.05, Santa Clara County, California",37404,0.22004264392324094,0.003411513859275053
"06085502701, CA",6085502701,06085502701,Not Designated,San Jose,3.34,"Census Tract 5027.01, Santa Clara County, California",9e4,0.2183814558763725,0.03233021553477023
"06085511907, CA",6085511907,06085511907,Not Designated,San Jose,3.3,"Census Tract 5119.07, Santa Clara County, California",141161,0.10096035459246491,0.019945826151194286
"06085503001, CA",6085503001,06085503001,Not Designated,San Jose,3.34,"Census Tract 5030.01, Santa Clara County, California",150652,0.10887096774193548,0
"06085504307, CA",6085504307,06085504307,Not Designated,San Jose,3.49,"Census Tract 5043.07, Santa Clara County, California",98667,0.13991031390134528,0.036771300448430494
"06085500200, CA",6085500200,06085500200,Not Designated,San Jose,3.28,"Census Tract 5002, Santa Clara County, California",91851,0.40596586377412663,0.051044823735843035
"06085512027, CA",6085512027,06085512027,Not Designated,San Jose,3.53,"Census Tract 5120.27, Santa Clara County, California",77455,0.27961985216473073,0.04012671594508976
"06085503212, CA",6085503212,06085503212,Not Designated,San Jose,3.77,"Census Tract 5032.12, Santa Clara County, California",93477,0.2796252927400468,0.03653395784543326
"06085505800, CA",6085505800,06085505800,Not Designated,San Jose,3.33,"Census Tract 5058, Santa Clara County, California",105e3,0.2553191489361702,0.007524649714582252
"06085503802, CA",6085503802,06085503802,Not Designated,San Jose,3.59,"Census Tract 5038.02, Santa Clara County, California",87778,0.3937319884726225,0.03025936599423631
"06085503306, CA",6085503306,06085503306,Not Designated,San Jose,4.21,"Census Tract 5033.06, Santa Clara County, California",63636,0.6103835360149673,0.025023386342376053
"06085505008, CA",6085505008,06085505008,Not Designated,San Jose,N/A,"Census Tract 5050.08, Santa Clara County, California",127332,0.09954086317722681,0.04003673094582186
"06085500800, CA",6085500800,06085500800,Designated Qualified Opportunity Zone,San Jose,2.87,"Census Tract 5008, Santa Clara County, California",82344,0.3537876730925876,0.04018463209340212
